date,time,spot,swell_dir_deg,outer_swell_m,beach_swell_m,transmission
2026-08-22,09:00,鳴門,166,1.00,0.28,0.28
2026-08-22,11:00,鳴門,166,0.98,0.28,0.29
2026-08-22,13:00,鳴門,167,0.96,0.28,0.29
2026-08-22,15:00,鳴門,168,0.94,0.28,0.30
2026-08-22,17:00,鳴門,165,0.90,0.30,0.33
2026-08-22,05:00,小松海岸,165,1.04,0.36,0.35
2026-08-22,07:00,小松海岸,165,1.04,0.36,0.35
2026-08-22,09:00,小松海岸,165,1.02,0.34,0.33
2026-08-22,11:00,小松海岸,164,1.00,0.32,0.32
2026-08-22,13:00,小松海岸,164,0.96,0.32,0.33
2026-08-22,15:00,小松海岸,167,0.94,0.34,0.36
2026-08-22,17:00,小松海岸,164,0.92,0.34,0.37
2026-08-22,05:00,内妻,180,1.02,0.80,0.78
2026-08-22,07:00,内妻,181,1.00,0.78,0.78
2026-08-22,09:00,内妻,182,0.98,0.72,0.73
2026-08-22,11:00,内妻,183,0.96,0.70,0.73
2026-08-22,13:00,内妻,183,0.94,0.68,0.72
2026-08-22,15:00,内妻,182,0.90,0.66,0.73
2026-08-22,17:00,内妻,181,0.88,0.66,0.75
2026-08-22,05:00,宍喰,184,1.02,0.88,0.86
2026-08-22,07:00,宍喰,185,0.98,0.84,0.86
2026-08-22,09:00,宍喰,187,0.96,0.78,0.81
2026-08-22,11:00,宍喰,187,0.94,0.76,0.81
2026-08-22,13:00,宍喰,187,0.92,0.74,0.80
2026-08-22,15:00,宍喰,186,0.88,0.74,0.84
2026-08-22,17:00,宍喰,185,0.86,0.72,0.84
2026-08-22,05:00,生見,184,1.02,0.88,0.86
2026-08-22,07:00,生見,185,0.98,0.84,0.86
2026-08-22,09:00,生見,187,0.96,0.78,0.81
2026-08-22,11:00,生見,187,0.94,0.76,0.81
2026-08-22,13:00,生見,187,0.92,0.74,0.80
2026-08-22,15:00,生見,186,0.88,0.74,0.84
2026-08-22,17:00,生見,185,0.86,0.72,0.84
2026-08-22,05:00,尾崎,188,0.98,0.96,0.98
2026-08-22,07:00,尾崎,189,0.94,0.92,0.98
2026-08-22,09:00,尾崎,190,0.96,0.88,0.92
2026-08-22,11:00,尾崎,191,0.94,0.86,0.91
2026-08-22,13:00,尾崎,191,0.92,0.84,0.91
2026-08-22,15:00,尾崎,190,0.88,0.82,0.93
2026-08-22,17:00,尾崎,189,0.86,0.80,0.93
2026-08-22,05:00,八丁浜,16,0.52,0.36,0.69
2026-08-22,07:00,八丁浜,16,0.52,0.40,0.77
2026-08-22,09:00,八丁浜,16,0.52,0.42,0.81
2026-08-22,11:00,八丁浜,16,0.52,0.42,0.81
2026-08-22,13:00,八丁浜,17,0.52,0.42,0.81
2026-08-22,15:00,八丁浜,18,0.52,0.42,0.81
2026-08-22,17:00,八丁浜,19,0.50,0.42,0.84
2026-08-22,05:00,琴引浜,16,0.52,0.36,0.69
2026-08-22,07:00,琴引浜,16,0.54,0.40,0.74
2026-08-22,09:00,琴引浜,16,0.52,0.42,0.81
2026-08-22,11:00,琴引浜,16,0.52,0.42,0.81
2026-08-22,13:00,琴引浜,17,0.52,0.42,0.81
2026-08-22,15:00,琴引浜,18,0.52,0.42,0.81
2026-08-22,17:00,琴引浜,19,0.52,0.42,0.81
2026-08-22,05:00,平,16,0.54,0.40,0.74
2026-08-22,07:00,平,16,0.56,0.42,0.75
2026-08-22,09:00,平,16,0.54,0.44,0.81
2026-08-22,11:00,平,17,0.52,0.46,0.88
2026-08-22,13:00,平,18,0.52,0.46,0.88
2026-08-22,15:00,平,19,0.52,0.46,0.88
2026-08-22,17:00,平,20,0.52,0.46,0.88
2026-08-22,05:00,浜詰,16,0.52,0.36,0.69
2026-08-22,07:00,浜詰,16,0.52,0.40,0.77
2026-08-22,09:00,浜詰,16,0.52,0.42,0.81
2026-08-22,11:00,浜詰,17,0.52,0.42,0.81
2026-08-22,13:00,浜詰,17,0.52,0.42,0.81
2026-08-22,15:00,浜詰,18,0.52,0.44,0.85
2026-08-22,17:00,浜詰,19,0.50,0.44,0.88
2026-08-22,05:00,葛野浜,16,0.50,0.36,0.72
2026-08-22,07:00,葛野浜,16,0.52,0.40,0.77
2026-08-22,09:00,葛野浜,16,0.52,0.42,0.81
2026-08-22,11:00,葛野浜,17,0.52,0.42,0.81
2026-08-22,13:00,葛野浜,17,0.52,0.42,0.81
2026-08-22,15:00,葛野浜,18,0.52,0.44,0.85
2026-08-22,17:00,葛野浜,19,0.50,0.44,0.88
2026-08-22,05:00,小天橋,16,0.50,0.38,0.76
2026-08-22,07:00,小天橋,16,0.52,0.40,0.77
2026-08-22,09:00,小天橋,17,0.52,0.42,0.81
2026-08-22,11:00,小天橋,17,0.52,0.44,0.85
2026-08-22,13:00,小天橋,17,0.52,0.44,0.85
2026-08-22,15:00,小天橋,18,0.52,0.46,0.88
2026-08-22,17:00,小天橋,19,0.50,0.46,0.92
2026-08-22,05:00,磯の浦,190,1.00,0.40,0.40
2026-08-22,07:00,磯の浦,190,1.00,0.40,0.40
